phy_id,oneline,county_fips,county_name,lat,lon,status
,,,,,,
59743,,,,,,
57677,,,,,,
47899,,,,,,
43169,"4072 Atlanta Hwy Loganville, Ga 30052",13135,Gwinnett County,33.846143753515,-83.911202911537,matched
16932,"Town Blvd, Ste S590 Atlanta, GA 30319",13089,DeKalb County,33.8687,-84.3351,zip_fallback
51314,"200 Hobbs LN Clay Co School Base Heath Center Fort Gaines,",13061,Clay County,31.617835343051,-85.045777875029,matched
80412,"95 Collier Rd. NW Atlanta, GA 30309",13121,Fulton County,33.7984,-84.3883,zip_fallback
34241,"1199 Ponce Ave Athens, GA 30606",13059,Clarke County,33.9461,-83.418,zip_fallback
82831,"2500 Hospital Blvd, Suite 290 Marietta, GA 30060",13067,Cobb County,33.9382,-84.5403,zip_fallback
69665,"55 Whither Street (Suite 250) Marietta, GA 30060",13067,Cobb County,33.967387821841,-84.551124111879,matched
55619,"150 Hospital CirCanton, Ga 30114",13057,Cherokee County,34.232057297045,-84.480197143162,matched
69243,"100 Mitchell Rd Fort Oglethopre, GA 30742",13047,Catoosa County,34.948722884246,-85.261926315803,matched
92721,"205 Jenkins Road Rossville, GA 30741",13295,Walker County,34.941108336685,-85.284868872966,matched
63182,"2600 Martin Luther King Jr. Dirve SW, Suite 100 Atlanta, GA",13121,Fulton County,33.753342002522,-84.471896339147,matched
61157,"3459 Holcomb Bridge Rd, Ste 100 Norcross, GA 30092",13135,Gwinnett County,33.953881760426,-84.243708235399,matched
44224,"5780 Peachtree Dunwoody Rd., Suite 200 Atlanta, GA 30342",13121,Fulton County,33.912109337597,-84.352966448896,matched
84545,"3805 Cherokee Street Kennesaw, GA 30144",13067,Cobb County,34.0287,-84.6047,zip_fallback
90961,"5887 Glenridge Dr Atlanta, GA 30328",13121,Fulton County,33.916590946855,-84.362408171347,matched
47381,"1280 Dogwood Dr SE Conyers, Ga 30013",13247,Rockdale County,33.65461779689,-84.002722883824,matched
84877,"80 Jesse Hill Jr Dr Atlanta, GA 30303",13121,Fulton County,33.754210807515,-84.380395399389,matched
28123,"896 Highway East McDonough, GA 30252",13151,Henry County,33.4768,-84.055,zip_fallback
67335,"115 E Main St Buford, GA 30518",13135,Gwinnett County,34.121041093538,-84.004429585935,matched
72016,"146 Depot Street Blue Ridge, GA 30513",13111,Fannin County,34.865796384136,-84.325939807645,matched
31512,"833 Campbell Hill Street, Suite 350 Marietta, GA 30060",13067,Cobb County,33.971754843553,-84.552008472024,matched
43016,"6171 Newton Drive NE Covington, GA 30014",13217,Newton County,33.599836880271,-83.840949385574,matched
88926,"910 Athens Hwy Loganville, GA 30052",13135,Gwinnett County,33.860891962706,-83.955235942813,matched
87903,"223 Medical Center Drive Riverdale, GA 30274",13063,Clayton County,33.577664898429,-84.396771787442,matched
