oneline,county_fips,county_name,lat,lon,status
"#6 Hospital Park/P.O. Box 3037 Moultrie, GA 31768",13071,Colquitt County,31.127062651672,-83.778724370277,matched
"(cid:9)1753 Stephanie Trl NE Atlanta, GA 30329",13089,DeKalb County,33.821631119262,-84.317016712498,matched
"(cid:9)3455 Harris Rd Waycross, GA 31503",13299,Ware County,31.256801659588,-82.404870003983,matched
"(cid:9)4750 Waters Avenue, Suite 302 Savannah, GA 31404",13051,Chatham County,32.031749898972,-81.091793341667,matched
"1 Aflac Parkway Columbus, GA 31907",,,,,no_match
"1 Aflac Pkwy Columbus, GA 31907",,,,,no_match
"1 Aflac Way Columbus, GA 31907",,,,,no_match
"1 Baltimore PL NW Suite 160 Atlanta, GA 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 Baltimore Pl NW Suite 160 Atlanta, GA 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 Baltimore Place Atlanta, GA 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 Baltimore Place NW (Suite 400) Atlanta, GA 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 Baltimore Place NW Atlanta, GA 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 Baltimore Place NW, Suite 400 Atlanta, GA 30308",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 Baltimore Place Suite 400 Atlanta, GA 30303",13121,Fulton County,33.768010370275,-84.388577947224,matched
"1 CNN Center ste. 10N Atlanta, GA 30303",,,,,no_match
"1 CNN Center, North Tower, 10th Floor Atlanta, GA 30303",,,,,no_match
"1 Coca-Cola Plaza Atlanta, GA 30313",13121,Fulton County,33.753602687595,-84.381024345898,matched
"1 Concourse Pkwy Ste 620 Sandy Springs, GA 30328",13121,Fulton County,33.916519137041,-84.351118377196,matched
"1 Concourse Pkwy, Ste 260 Atlanta, GA 30328",13121,Fulton County,33.916519137041,-84.351118377196,matched
"1 Doctors Park Cairo, GA 39828",,,,,no_match
"1 Freedom Way (28) Augusta, GA 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way Agusta, GA 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way Augusta, GA 30815",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way Augusta, GA 30901",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way Augusta, GA 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way Augusta, Ga 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way Augusta, ga 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way, DD-22 Augusta, GA 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedom Way, Ste DD 22 Augusta, GA 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedon Way Augusta, GA 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Freedon Way Augusta, Ga 30904",13245,Richmond County,33.468379986159,-82.025381262317,matched
"1 Glenlake Pkwy STE 600&700 Atlanta, GA 30328",13121,Fulton County,33.935487231047,-84.360935839493,matched
"1 Glenlake Pkwy Ste 600 &700 Atlanta, GA 30328",13121,Fulton County,33.935487231047,-84.360935839493,matched
"1 Glenlake Pkwy, Suite 650 & 700 Atlanta, GA 30328",13121,Fulton County,33.935487231047,-84.360935839493,matched
"1 Hiram Blvd, Bldg B Hiram, GA 30141",13223,Paulding County,33.903224707296,-84.774364922695,matched
"1 Magnolia Court Moultrie, GA 31768",,,,,no_match
"1 Magnolia Court Moultrie, Ga 31768",,,,,no_match
"1 Meadows Lane Vidalia, GA 30474",,,,,no_match
"1 Meadows Parkaway Vidalia, GA 30474-8759",,,,,no_match
"1 Meadows Parkway Vidalia, GA 30474",,,,,no_match
"1 Meadows Pkwy Suite B Vidalia, GA 30474",,,,,no_match
"1 Meadows Pkwy Vidalia, GA 30474",,,,,no_match
"1 Meadows Pkwy Vidalia, GA 30474-8759",,,,,no_match
"1 Meadows Pkwy Vidalia, Ga 30474",,,,,no_match
"1 N Main St., Ste 104 Moultrie, GA 31768",13071,Colquitt County,31.180037028627,-83.788903635346,matched
"1 Savannah Square Dr. Savannah, GA 31406",,,,,no_match
"1 Sweet Bay Court Suite B Moultrie, GA 31768",13071,Colquitt County,31.124295082122,-83.780266431355,matched
"1 Sweet Bay Ct, suite B Moultrie, GA 31768",13071,Colquitt County,31.124295082122,-83.780266431355,matched
"1 Sweet Boy Court, Ste B Moultrie, GA 31768",,,,,no_match
"1 Technology Parkway S Norcross, GA 30092",13135,Gwinnett County,33.957464904259,-84.216249059603,matched
"1 Technology Parkway South Norcross, GA 30092",13135,Gwinnett County,33.957464904259,-84.216249059603,matched
"1 Technology Parkway. S Norcross, GA 30092",13135,Gwinnett County,33.957464904259,-84.216249059603,matched
"1 Technology Pkwy Norcross, Ga 30092",13135,Gwinnett County,33.968183742764,-84.217328237631,matched
"1 Technology Pkwy South Norcross, GA 30092",13135,Gwinnett County,33.957464904259,-84.216249059603,matched
"1. E Jackson Blvd Savannah, GA 31405",13051,Chatham County,32.017762653908,-81.114548308234,matched
"10 3rd Street Suite 201 Jackson, GA 30233",13035,Butts County,33.294323041196,-83.967186530528,matched
"10 Bowens Court Cartersville, Ga 30120",13015,Bartow County,34.192784028356,-84.792223683871,matched
"10 Cloverleaf Drive Cartersville, GA 30120",,,,,no_match
"10 DOCTORS ST METTER, GA 30439",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Doctors St Metter, GA 30439",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Doctors St Metter, GA 30439 3:07:00 AM",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Doctors St Metter, GA 30449",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Doctors St. Metter, GA 30439",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Doctors Street Metter, GA 30439",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Doctors Street Metter, Ga 30439",13043,Candler County,32.407658775901,-82.066689418107,matched
"10 Glen Lake Parkway, #130 Atlanta, Ga 30328",13121,Fulton County,33.941025086287,-84.360813077669,matched
"10 Glen Lake Pkwy, #130 Atlanta, Ga 30328",13121,Fulton County,33.941025086287,-84.360813077669,matched
"10 Glenlake Pkwy Suite 130 Atlanta, GA 30328",13121,Fulton County,33.941025086287,-84.360813077669,matched
"10 Glenlake Pkwy, Suite 130 Atlanta, GA 30328",13121,Fulton County,33.941025086287,-84.360813077669,matched
"10 Glenlake Pkwy, Suite 30 Atlanta, GA 30328",13121,Fulton County,33.941025086287,-84.360813077669,matched
"10 Huron St. Newnan, GA 30263",13077,Coweta County,33.36525737373,-84.775443856598,matched
"10 Luckie Street Cartersville, GA 30120",13015,Bartow County,34.16215220834,-84.80057035405,matched
"10 Main Street Market Place Cartersville, GA 30121",,,,,no_match
"10 Main Street Market Place SE Cartersville, GA 30121",,,,,no_match
"10 Main Street Market Place SE Cartersville, GA 31021",,,,,no_match
"10 Market Square Way Newnan, GA 30265",13077,Coweta County,33.380152758308,-84.740478564083,matched
"10 North 3rd Avenue McRae, GA 31055",13271,Telfair County,32.071695326588,-82.899500334781,matched
"10 Park Pl SE Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place Atlanta, GA 30305",13121,Fulton County,33.844111639998,-84.367335134564,matched
"10 Park Place NE, Suite 600 Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place S Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place S. Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place SE - Suite FCBOH 5th Floor) Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place SE 5th Floor /atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place SE Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place South Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place South SE Atlanta, Ga 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place South, Office 616 Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Park Place, 2nd Floor Atlanta, GA 30303",13121,Fulton County,33.75615445255,-84.387706649316,matched
"10 Probasco Street , Unit 214 Lafayette, GA 30728",,,,,no_match
